[2025-09-07 16:31:08] [INFO    ] discord.client: logging in using static token
[2025-09-07 16:31:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-07 16:31:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-07 16:31:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1414168461172539454', 'username': 'OLIT', 'avatar': 'd36b0a1e581c976708d316ae42d5b908', 'discriminator': '0936', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '67b3279c2ca74ed14267c3e8a1deb805', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-07 16:31:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-07 16:31:10] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-07 16:31:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1414168461172539454', 'name': 'OLIT', 'icon': 'd36b0a1e581c976708d316ae42d5b908', 'description': '', 'type': None, 'bot': {'id': '1414168461172539454', 'username': 'OLIT', 'avatar': 'd36b0a1e581c976708d316ae42d5b908', 'discriminator': '0936', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '67b3279c2ca74ed14267c3e8a1deb805', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '16f8f654976744934eb7f1b626f89d363ed2b199412076dde0d48a901d48e3a2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '814791086114865233', 'username': 'vinayak4564', 'avatar': '44006e18bd6de0ab7bc3fc8c96c66379', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1054484, 'global_name': 'Vinayak', 'avatar_decoration_data': {'asset': 'a_8552f9857793aed0cf816f370e2df3be', 'sku_id': '1232071712695386162', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'asset': 'nameplates/nameplates/twilight/', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': None, 'banner_color': '#101714', 'clan': {'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'tag': 'KSA', 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}, 'primary_guild': {'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'tag': 'KSA', 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-1fj6",{"micros":0.0}]']}}
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
